"siteId","activityId","startDate","endDate","Nursing_Vols","Nursing_Hrs_Service","SocWel_Vols","SocWel_Hrs_Service","Sam_Vols","Sam_Hrs_Service","RFL_Vols","RFL_Hrs_Service","FTTraining_Vols","FTTraining_Hrs_Service","Ben_Vols","Ben_Hrs_Service","Staff_Vols_Trained","tVols_IncBen","tVolsHrs_IncBen","tVols_ExcBen","tVolsHrs_ExcBen","Male","Female","Under5","tBen","Men_Women_Under5","Family_Parcels","Food_Parcels","Food_To_Go","Hot_Meals","Water_Bottles","Survival_Kits","tFood","Fem_HygKits","Male_HygKits","Unisex_HygKits","San_Pads","Razors","BabyKits","Diapers","tHygiene","tHygKits","Sleeping_Bags","Camping_Mats","High_Thermal_Blankets","Med_Thermal_Blankets","Jackets","Socks","tTextiles","Duffel_Bags","Backpacks","tBags","tWarmth","tClothing","Alum_Blankets","Other","tNFI_Other","Tea","Plastic_Cups","Sugar_Packs","Plastic_Bags","tRamadan","tDistributions","Health_IncERU","First_Aid","Rescue","Hyg_Promo","WASH","PSS_Counseling","Child_Activities","tPSS","tRFL","tRFL_Vulnerable","Info_Services","WIFI_Mobile","PhoneCards_Calls","Hotline_Calls","tHealth","tConnect","tWASH","tPpl_Reached","locationId","locationName","latitude","longitude","partnerId","partnerName","Data.Collection","Severity"
790681,74621,"2016-02-19","2016-02-25",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,0,0,0,0,0,12,394,0,0,0,0,65,27,92,0,0,64,0,0,0,486,64,0,0,1537547328,"Idomeni",41.1265,22.518,13760,"Idomeni","",""
23021835,74621,"2015-01-10","2015-12-25",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,457,0,0,0,0,0,150,0,0,0,0,0,457,0,0,0,721508707,"Crete",35.21,24.91,13910,"Hellenic Red Cross","",""
42890038,74621,"2016-04-22","2016-04-28",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,39,78,117,0,0,127,752,170,9,138,1058,0,0,755114467,"Lesvos",39.1,26.55,13752,"Lesbos","",""
42897700,74621,"2016-04-15","2016-04-21",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,395,0,0,0,0,68,97,165,1,0,156,0,0,0,560,156,0,0,1537547328,"Idomeni",41.1265,22.518,13760,"Idomeni","",""
44067271,74621,"2016-03-25","2016-03-31",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,502,16,0,0,0,568,647,1215,464,197,80,0,0,116,1733,196,0,0,2025732386,"Athens",37.96667,23.71667,13761,"Athens","",""
90629550,74621,"2016-02-19","2016-02-25",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136,0,0,120,0,130,60,190,4,0,140,0,1,0,326,141,120,0,519440442,"Samos",37.75,26.83333,13753,"Samos","",""
90991312,74621,"2016-04-15","2016-04-21",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,0,0,0,0,0,9,212,0,0,25,0,48,124,172,2,0,0,0,8,0,384,8,25,0,461396992,"Diavata",40.7,22.86,13838,"Diavata","",""
96893623,74621,"2015-01-10","2015-12-25",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,27,0,0,0,0,0,27,16978,649,0,149,0,533,1354,1887,5,1,9526,30,0,0,19514,9556,149,0,1537547328,"Idomeni",41.1265,22.518,13760,"Idomeni","",""
118900932,74621,"2016-03-25","2016-03-31",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,31,0,0,0,0,0,31,281,0,0,50,0,74,234,308,3,0,5,0,0,0,589,5,50,0,461396992,"Diavata",40.7,22.86,13838,"Diavata","",""
153128260,74621,"2016-04-15","2016-04-21",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,569080712,"Kos",36.85,27.23333,13759,"Kos","",""
