"siteId","activityId","startDate","endDate","male","female","under5","total_beneficiaries","total_beneficiaries2","family_parcels","food_parcels","food_to_go","hot_meals","water_bottles","survival_kits","total_food","fem_hygkit","male_hygkit","unisex_hygkit","san_pads","razors","baby_kits","diapers","total_hygiene","total_hygkits","sleeping_bags","camp_mats","high_thermal_blankets","med_thermal_blankets","jackets","socks","total_textiles","duffel_bags","backpacks","total_bags","total_warmth","total_clothing","alum_blankets","other","total_nfi_other","tea","plastic_cups","sugar_packs","plastic_bags","ramadan","Total.all.distributions","locationId","locationName","latitude","longitude","partnerId","partnerName","Data.Collection"
24149917,70699,"2016-01-16","2016-01-22",192,22,27,241,0,26,209,0,0,472,0,235,27,0,208,0,209,5,0,449,235,0,0,0,61,0,0,61,0,216,216,61,0,0,492,708,0,0,0,0,0,1925,569080712,"Kos",36.85,27.23333,13759,"Kos","Manual"
55373472,70699,"2016-06-10","2016-06-16",0,0,0,800,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,200,0,0,0,0,200,800,300,400,0,1500,1700,519440442,"Samos",37.75,26.83333,13753,"Samos","Manual"
70857558,70699,"2016-06-10","2016-06-16",0,0,0,2866,2866,0,0,400,0,0,576,400,0,0,0,0,0,210,0,210,0,0,0,0,0,0,0,0,0,80,80,0,0,0,300,956,400,400,400,100,1300,2866,461396992,"Diavata",40.7,22.86,13838,"Diavata","Manual"
96111223,70699,"2016-04-29","2016-05-05",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025732386,"Athens",37.96667,23.71667,13761,"Athens","Manual"
112518487,70699,"2016-01-16","2016-01-22",973,828,343,2144,0,0,1414,0,0,2963,0,1414,0,0,728,0,0,101,0,829,728,0,0,1115,0,0,0,1115,740,0,740,1115,0,0,2739,3479,0,0,0,0,0,9800,755114467,"Lesvos",39.1,26.55,13752,"Lesbos","Manual"
138786808,70699,"2016-05-20","2016-05-26",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025732386,"Athens",37.96667,23.71667,13761,"Athens","Manual"
153044124,70699,"2016-04-01","2016-04-07",58,44,30,132,0,0,101,0,0,192,0,101,0,0,61,0,0,2,0,63,61,0,0,55,0,0,0,55,0,0,0,55,0,0,0,0,0,0,0,0,0,411,755114467,"Lesvos",39.1,26.55,13752,"Lesbos","Manual"
156798257,70699,"2016-03-18","2016-03-24",104,79,9,192,0,0,0,0,0,0,175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175,0,0,0,0,0,175,1094663034,"Chios",38.38333,26.11667,13754,"Chios","Manual"
168116109,70699,"2016-02-26","2016-03-03",0,0,0,14951,14951,0,2459,0,0,6800,0,2459,0,0,1252,463,200,579,0,2494,1252,1171,385,0,180,232,50,2018,0,1180,1180,1736,282,0,0,1180,0,0,0,0,0,14951,1537547328,"Idomeni",41.1265,22.518,13760,"Idomeni","Manual"
174953703,70699,"2016-04-08","2016-04-14",0,0,0,17235,17235,0,2880,0,0,1520,0,2880,0,0,1856,540,1250,940,0,4586,1856,0,0,206,0,0,0,206,0,692,692,206,0,0,7351,8043,0,0,0,0,0,17235,1537547328,"Idomeni",41.1265,22.518,13760,"Idomeni","Manual"
183934627,70699,"2016-04-22","2016-04-28",0,0,0,3891,3891,0,0,3600,0,3200,0,3600,0,0,3600,910,0,500,0,5010,3600,0,0,0,0,0,0,0,150,0,150,0,0,0,9000,9150,0,0,0,0,0,20960,1198055428,"Skaramagas",38.0048,23.5891,13949,"Skaramagas","Manual"
187499441,70699,"2016-04-22","2016-04-28",0,0,0,9189,9189,0,0,0,0,4252,0,0,0,0,2320,200,1400,464,433,4817,2320,0,0,120,0,0,0,120,0,0,0,120,0,0,0,0,0,0,0,0,0,9189,461396992,"Diavata",40.7,22.86,13838,"Diavata","Manual"
194495712,70699,"2016-01-09","2016-01-15",0,0,0,535,535,0,166,0,0,0,152,166,98,0,0,0,0,40,0,138,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152,0,0,0,0,0,456,1094663034,"Chios",38.38333,26.11667,13910,"Hellenic Red Cross","Manual"
197929297,70699,"2016-05-06","2016-05-12",43,3,100,146,0,0,0,0,0,0,0,0,0,0,0,0,0,96,0,96,0,0,0,50,0,0,0,50,0,50,50,50,0,0,0,50,0,0,0,0,0,196,519440442,"Samos",37.75,26.83333,13753,"Samos","Manual"
217651579,70699,"2015-10-01","2015-12-25",3209,932,714,4855,0,1428,148,0,0,2074,3271,1576,850,0,0,0,0,430,0,1280,850,443,173,0,0,0,0,616,0,0,0,616,0,0,0,3271,0,0,0,0,0,8817,519440442,"Samos",37.75,26.83333,13753,"Samos","Manual"
230823863,70699,"2016-03-10","2016-03-17",1635,1192,886,3713,0,0,3006,0,0,6240,0,3006,0,0,1800,580,0,0,0,2380,1800,0,0,720,0,0,0,720,0,780,780,720,0,0,0,780,0,0,0,0,0,13126,2025732386,"Athens",37.96667,23.71667,13761,"Athens","Manual"
242620668,70699,"2016-06-03","2016-06-09",0,0,0,8555,8555,0,0,2208,0,4222,0,2208,0,0,0,0,0,0,2066,2066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,226,226,0,0,0,0,0,8722,1159912091,"Kordelio",40.6621,22.8956,13910,"Hellenic Red Cross","Manual"
248765111,70699,"2015-12-26","2016-01-01",823,553,962,2338,0,432,0,0,0,0,600,432,250,0,0,0,0,144,0,394,250,250,200,0,0,229,0,679,0,0,0,450,229,0,4349,4949,0,0,0,0,0,6454,755114467,"Lesvos",39.1,26.55,13752,"Lesbos","Manual"
281538053,70699,"2016-06-03","2016-06-09",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025732386,"Athens",37.96667,23.71667,13761,"Athens","Manual"
282219954,70699,"2016-05-06","2016-05-12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,569080712,"Kos",36.85,27.23333,13759,"Kos","Manual"
282753492,70699,"2015-10-01","2015-12-25",0,0,0,0,0,0,0,0,0,0,242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,242,0,0,0,0,0,242,721508707,"Crete",35.21,24.91,13910,"Hellenic Red Cross","Manual"
