"siteId","activityId","startDate","endDate","health_eru","first_aid","rescue","hygiene_promo","wash","pss_counseling","child_activities","total_pss","total_rfl","total_rfl_vulnerable","info_services","wifi_mobile","phone_cards_calls","hotline_calls","other_services","total_health","total_connectivity","total_wash","total_ppl_reached","Total.RFL","locationId","locationName","latitude","longitude","partnerId","partnerName"
938730,70700,"2016-05-20","2016-05-26",108,1,0,162,0,582,70,652,0,0,0,0,0,0,0,761,0,162,923,0,1094663034,"Chios",38.38333,26.11667,13754,"Chios"
16652011,70700,"2015-10-01","2015-12-25",0,0,457,0,0,0,0,0,150,0,0,0,0,0,0,457,0,0,607,150,721508707,"Crete",35.21,24.91,13910,"Hellenic Red Cross"
22500987,70700,"2016-06-10","2016-06-16",474,0,0,0,0,2,0,2,0,0,0,0,0,5,0,476,5,0,481,0,1159912091,"Kordelio",40.6621,22.8956,13910,"Hellenic Red Cross"
44838933,70700,"2016-02-05","2016-02-11",397,0,0,0,0,65,247,312,0,0,132,0,0,0,72,709,132,0,913,0,1537547328,"Idomeni",41.1265,22.518,13760,"Idomeni"
45475405,70700,"2016-05-06","2016-05-12",379,77,0,0,0,653,190,843,537,218,41,0,0,78,0,1299,119,0,2173,755,2025732386,"Athens",37.96667,23.71667,13761,"Athens"
66975693,70700,"2016-06-03","2016-06-09",191,1,0,0,0,0,247,247,0,0,0,0,0,0,0,439,0,0,439,0,2141418389,"Ritsona",38.39,23.5,13840,"Ritsona"
73897264,70700,"2016-04-22","2016-04-28",211,0,0,224,0,810,368,1178,0,0,0,0,0,0,0,1389,0,224,1613,0,1094663034,"Chios",38.38333,26.11667,13754,"Chios"
75487656,70700,"2016-04-01","2016-04-07",163,2,0,180,0,163,0,163,2,0,180,0,0,0,0,328,180,180,690,2,519440442,"Samos",37.75,26.83333,13753,"Samos"
80310546,70700,"2016-01-30","2016-02-04",339,0,0,120,120,490,345,835,0,0,20,0,0,0,0,1174,20,240,1434,0,1094663034,"Chios",38.38333,26.11667,13910,"Hellenic Red Cross"
83069847,70700,"2016-03-04","2016-03-10",167,0,0,160,0,180,0,180,3,1,160,0,2,0,0,347,162,160,673,4,519440442,"Samos",37.75,26.83333,13753,"Samos"
100476340,70700,"2016-01-16","2016-01-22",100,5,0,0,0,16,18,34,0,0,10,0,0,0,35,139,10,0,184,0,1537547328,"Idomeni",41.1265,22.518,13910,"Hellenic Red Cross"
106577818,70700,"2016-06-03","2016-06-09",115,0,0,138,0,514,75,589,0,0,0,0,0,0,0,704,0,138,842,0,1094663034,"Chios",38.38333,26.11667,13754,"Chios"
107853036,70700,"2016-02-19","2016-02-25",394,0,0,0,0,65,27,92,0,0,64,0,0,0,12,486,64,0,562,0,1537547328,"Idomeni",41.1265,22.518,13760,"Idomeni"
116429568,70700,"2016-05-27","2016-06-02",0,14,0,0,0,10,0,10,2,0,28,564,156,10,0,24,758,0,784,2,755114467,"Lesvos",39.1,26.55,13752,"Lesbos"
117208911,70700,"2016-05-06","2016-05-12",160,7,0,81,0,269,40,309,0,0,0,0,0,0,0,476,0,81,557,0,1094663034,"Chios",38.38333,26.11667,13754,"Chios"
121282937,70700,"2016-04-15","2016-04-21",0,29,0,0,0,43,85,128,1,0,127,825,276,6,0,157,1234,0,1392,1,755114467,"Lesvos",39.1,26.55,13752,"Lesbos"
128625995,70700,"2016-06-10","2016-06-16",357,0,0,0,0,308,0,308,0,0,0,0,0,0,0,665,0,0,665,0,1198055428,"Skaramagas",38.0048,23.5891,13761,"Athens"
149624132,70700,"2015-12-26","2016-01-01",160,0,0,0,0,6,0,6,0,0,2,0,0,0,0,166,2,0,168,0,1537547328,"Idomeni",41.1265,22.518,13760,"Idomeni"
151727329,70700,"2016-04-01","2016-04-07",355,14,0,0,0,603,582,1185,474,205,78,0,91,0,0,1554,169,0,2402,679,2025732386,"Athens",37.96667,23.71667,13761,"Athens"
170439318,70700,"2016-03-04","2016-03-10",293,10,0,0,0,532,518,1050,429,191,124,0,0,270,0,1353,394,0,2367,620,2025732386,"Athens",37.96667,23.71667,13761,"Athens"
171381774,70700,"2016-01-09","2016-01-15",76,0,0,100,0,200,340,540,1,0,100,5,0,0,0,616,105,100,822,1,519440442,"Samos",37.75,26.83333,13753,"Samos"
201506066,70700,"2015-10-01","2015-12-25",844,0,23149,2352,0,3499,29,3528,103,19,8066,12591,0,68,340,27521,20725,2352,51060,122,755114467,"Lesvos",39.1,26.55,13752,"Lesbos"
204605929,70700,"2016-01-02","2016-01-08",314,0,0,122,0,348,135,483,10,0,0,0,0,0,0,797,0,122,929,10,1094663034,"Chios",38.38333,26.11667,13754,"Chios"
211444366,70700,"2016-01-16","2016-01-22",277,0,0,175,0,660,400,1060,0,0,23,0,0,0,0,1337,23,175,1535,0,1094663034,"Chios",38.38333,26.11667,13910,"Hellenic Red Cross"
217060427,70700,"2016-02-24","2016-02-25",176,0,0,0,0,20,0,20,0,0,0,0,0,0,0,196,0,0,196,0,461396992,"Diavata",40.7,22.86,13838,"Diavata"
243013510,70700,"2016-01-16","2016-01-22",104,0,0,0,0,126,0,126,328,2,55,0,0,88,0,230,143,0,703,330,2025732386,"Athens",37.96667,23.71667,13910,"Hellenic Red Cross"
254703995,70700,"2016-04-08","2016-04-14",169,0,0,0,0,56,94,150,2,0,75,0,0,0,0,319,75,0,396,2,1537547328,"Idomeni",41.1265,22.518,13760,"Idomeni"
287254425,70700,"2016-02-26","2016-03-03",0,25,0,0,0,0,0,0,11,0,300,2712,63,3,0,25,3078,0,3114,11,755114467,"Lesvos",39.1,26.55,13752,"Lesbos"
295334958,70700,"2016-03-18","2016-03-24",198,0,0,30,0,61,284,345,0,0,3,0,0,0,18,543,3,30,594,0,461396992,"Diavata",40.7,22.86,13838,"Diavata"
295767852,70700,"2016-03-04","2016-03-10",0,0,0,0,0,9,0,9,0,0,22,0,0,0,322,9,22,0,353,0,569080712,"Kos",36.85,27.23333,13759,"Kos"
340164251,70700,"2016-04-01","2016-04-07",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,569080712,"Kos",36.85,27.23333,13759,"Kos"
373011151,70700,"2016-06-03","2016-06-09",385,0,0,0,0,44,0,44,0,0,0,0,0,0,0,429,0,0,429,0,569257762,"Cherso",41.09591,22.7691697,13837,"Cherso"
383788350,70700,"2015-12-26","2016-01-01",158,3,0,0,0,161,30,191,0,0,0,0,0,0,0,352,0,0,352,0,1094663034,"Chios",38.38333,26.11667,13754,"Chios"
388223518,70700,"2016-06-17","2016-06-23",0,36,0,0,0,0,50,50,22,0,0,3,1,117,0,86,121,0,229,22,2025732386,"Athens",37.96667,23.71667,13761,"Athens"
389620097,70700,"2015-10-01","2015-12-25",0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,41,41,1543939307,"Rhodes",36.4093,28.2215,13910,"Hellenic Red Cross"
392843613,70700,"2016-03-11","2016-03-17",3,123,200,0,0,19,23,42,0,0,1295,3120,164,22,0,368,4601,0,4969,0,755114467,"Lesvos",39.1,26.55,13752,"Lesbos"
397697614,70700,"2016-05-13","2016-05-19",0,32,0,0,0,0,0,0,1,0,25,606,149,3,0,32,783,0,816,1,755114467,"Lesvos",39.1,26.55,13752,"Lesbos"
403514301,70700,"2015-10-01","2015-12-25",0,665,0,100,1200,28,187,215,17,0,259,54,0,0,1906,880,313,1300,4416,17,569080712,"Kos",36.85,27.23333,13759,"Kos"
428847167,70700,"2016-02-12","2016-02-18",0,0,0,0,0,160,24,184,383,176,80,0,0,108,0,184,188,0,931,559,2025732386,"Athens",37.96667,23.71667,13761,"Athens"
432524229,70700,"2016-05-13","2016-05-19",75,0,0,0,0,10,0,10,1,0,0,0,0,0,0,85,0,0,86,1,1537547328,"Idomeni",41.1265,22.518,13760,"Idomeni"
435048348,70700,"2016-02-26","2016-03-03",10,21,0,0,0,5000,25,5025,407,185,98,0,0,156,0,5056,254,0,5902,592,2025732386,"Athens",37.96667,23.71667,13761,"Athens"
457589094,70700,"2016-05-06","2016-05-12",270,0,0,0,0,8,0,8,0,0,0,0,0,0,0,278,0,0,278,0,1537547328,"Idomeni",41.1265,22.518,13760,"Idomeni"
